Spearman	Kendall	MutualInformation
0.80	0.62	3.00
0.64	0.42	2.30
0.77	0.60	2.40
0.82	0.71	2.64
0.94	0.82	2.30
0.75	0.61	2.89
0.72	0.52	2.48
0.77	0.58	2.71
0.81	0.68	2.71
0.81	0.62	3.18
0.78	0.58	2.89
0.73	0.56	2.94
0.62	0.52	2.48
0.74	0.55	3.00
0.90	0.83	2.20
0.72	0.55	2.48
0.75	0.62	2.56
0.84	0.67	2.94
0.84	0.69	2.56
0.76	0.64	2.48
0.88	0.73	2.30
0.89	0.73	2.30
0.75	0.56	3.30
1.00	1.00	1.61
0.91	0.75	2.77
0.60	0.52	2.71
0.74	0.56	3.26
0.81	0.64	2.48
0.89	0.73	2.71
0.85	0.73	2.48
0.89	0.81	1.95
0.96	0.85	2.48
0.67	0.47	3.04
0.85	0.66	3.04
0.79	0.63	2.77
0.73	0.59	2.94
0.82	0.66	3.00
0.78	0.60	3.33
0.80	0.67	1.39
0.72	0.58	2.71
0.36	0.27	2.40
0.28	0.21	2.48
0.76	0.59	3.00
0.86	0.69	2.89
0.75	0.55	2.48
0.81	0.66	3.26
0.87	0.69	3.30
0.85	0.66	2.83
0.27	0.21	2.48
0.78	0.55	2.48
0.87	0.69	2.83
0.68	0.50	3.14
0.83	0.63	3.04
0.79	0.62	2.56
0.64	0.46	2.56
0.87	0.68	2.94
0.89	0.77	2.56
0.66	0.49	3.14
0.75	0.56	3.91
0.77	0.58	3.47
0.77	0.59	3.30
0.71	0.51	2.83
0.62	0.49	2.71
0.52	0.35	2.40
0.76	0.56	2.94
0.86	0.66	3.26
0.84	0.68	3.00
0.90	0.78	2.77
0.85	0.69	2.30
0.78	0.59	2.94
0.89	0.71	2.94
0.94	0.87	1.79
0.88	0.70	3.37
0.83	0.63	3.53
0.75	0.62	3.04
0.69	0.51	3.56
0.84	0.68	3.04
0.62	0.47	2.64
0.83	0.67	2.64
0.75	0.58	3.18
0.80	0.61	3.47
0.80	0.62	3.50
0.68	0.53	2.83
0.85	0.65	3.53
0.66	0.50	2.94
0.72	0.51	2.30
0.85	0.65	2.77
0.77	0.60	3.64
0.87	0.67	3.26
