Spearman	Kendall	MutualInformation
0.31	0.20	3.00
0.20	0.11	2.30
0.56	0.42	2.40
0.27	0.23	2.64
0.83	0.69	2.30
0.20	0.18	2.89
0.38	0.30	2.48
0.51	0.39	2.71
0.81	0.66	2.71
0.54	0.36	3.18
0.77	0.56	2.89
0.46	0.29	2.94
0.54	0.39	2.48
0.58	0.43	3.00
0.43	0.33	2.20
0.74	0.52	2.48
0.43	0.36	2.56
0.44	0.33	2.94
0.62	0.46	2.56
0.66	0.48	2.48
0.72	0.56	2.30
0.30	0.16	2.30
0.57	0.44	3.24
0.80	0.60	1.61
0.57	0.47	2.77
0.62	0.50	2.71
0.72	0.61	0.77
0.73	0.58	2.48
0.53	0.41	2.71
0.51	0.30	2.48
0.89	0.81	1.95
0.66	0.48	2.48
0.40	0.27	3.04
0.62	0.45	2.98
0.50	0.37	2.77
0.34	0.20	2.94
0.40	0.28	3.00
0.72	0.62	0.74
-0.60	-0.33	1.39
0.66	0.47	2.71
0.44	0.31	2.40
0.29	0.24	2.48
0.37	0.27	3.00
0.58	0.40	2.89
0.85	0.70	2.48
nan	nan	0.00
0.60	0.46	1.20
0.50	0.35	2.83
0.29	0.21	2.48
0.57	0.36	2.48
0.57	0.41	2.83
0.38	0.27	2.75
0.48	0.30	3.04
0.42	0.31	2.56
0.44	0.28	2.56
0.55	0.35	2.94
0.31	0.15	2.56
0.12	0.08	3.14
nan	nan	0.00
0.30	0.25	0.14
0.65	0.54	0.48
0.61	0.44	2.83
0.36	0.20	2.71
0.38	0.27	2.40
0.19	0.10	2.94
0.46	0.31	2.68
0.61	0.48	2.93
0.85	0.68	2.69
-0.20	-0.20	2.30
0.56	0.39	2.94
0.74	0.59	2.94
0.66	0.47	1.79
0.60	0.51	0.72
0.39	0.28	3.53
0.56	0.42	3.04
nan	nan	0.00
0.65	0.49	3.04
-0.35	-0.34	2.64
0.44	0.30	2.64
0.52	0.37	3.18
0.41	0.29	3.47
0.45	0.29	3.50
0.62	0.50	2.83
nan	nan	0.00
0.53	0.39	2.94
0.21	0.20	2.30
0.41	0.25	2.77
0.72	0.52	3.64
0.55	0.44	1.60
