Spearman	Kendall	MutualInformation
0.75	0.58	3.00
0.84	0.69	2.30
0.96	0.89	2.40
0.74	0.60	2.64
0.98	0.91	2.30
0.75	0.57	2.89
0.73	0.58	2.48
0.75	0.60	2.71
0.82	0.68	2.71
0.76	0.58	3.18
0.81	0.61	2.89
0.61	0.43	2.94
0.80	0.67	2.48
0.81	0.67	3.00
0.62	0.50	2.20
0.87	0.70	2.48
0.85	0.74	2.56
0.81	0.63	2.94
0.80	0.69	2.56
0.65	0.58	2.48
0.78	0.69	2.30
0.89	0.73	2.30
0.68	0.50	3.30
0.90	0.80	1.61
0.86	0.70	2.77
0.67	0.56	2.71
0.83	0.66	3.26
0.72	0.52	2.48
0.88	0.68	2.71
0.93	0.82	2.48
0.96	0.90	1.95
0.91	0.79	2.48
0.72	0.53	3.04
0.88	0.73	3.04
0.74	0.60	2.77
0.72	0.56	2.94
0.67	0.53	3.00
0.82	0.67	3.33
0.60	0.33	1.39
0.85	0.68	2.71
0.47	0.35	2.40
0.26	0.21	2.48
0.73	0.58	3.00
0.73	0.54	2.89
0.87	0.73	2.48
0.85	0.69	3.26
0.81	0.60	3.30
0.81	0.63	2.83
0.43	0.33	2.48
0.78	0.58	2.48
0.76	0.59	2.83
0.84	0.68	3.14
0.90	0.74	3.04
0.82	0.67	2.56
0.78	0.56	2.56
0.87	0.66	2.94
0.83	0.67	2.56
0.67	0.49	3.14
0.67	0.47	3.91
0.77	0.60	3.47
0.80	0.62	3.30
0.71	0.53	2.83
0.61	0.41	2.71
0.74	0.60	2.40
0.72	0.53	2.94
0.76	0.54	3.26
0.80	0.66	3.00
0.89	0.77	2.77
0.85	0.60	2.30
0.76	0.58	2.94
0.88	0.71	2.94
0.94	0.87	1.79
0.77	0.58	3.37
0.74	0.56	3.53
0.69	0.52	3.04
0.50	0.35	3.56
0.89	0.76	3.04
0.40	0.32	2.64
0.82	0.63	2.64
0.80	0.64	3.18
0.54	0.41	3.47
0.76	0.58	3.50
0.68	0.50	2.83
0.84	0.64	3.53
0.75	0.60	2.94
0.83	0.64	2.30
0.82	0.60	2.77
0.79	0.61	3.64
0.81	0.61	3.26
