Spearman	Kendall	MutualInformation
0.65	0.51	3.00
0.47	0.38	2.30
0.39	0.24	2.40
0.54	0.45	2.64
0.84	0.73	2.30
0.74	0.57	2.89
0.53	0.42	2.48
0.65	0.45	2.71
0.58	0.45	2.71
0.57	0.43	3.18
0.78	0.58	2.89
0.68	0.51	2.94
0.85	0.70	2.48
0.56	0.40	3.00
0.80	0.67	2.20
0.62	0.42	2.48
0.65	0.46	2.56
0.64	0.45	2.94
0.52	0.38	2.56
0.45	0.39	2.48
0.81	0.64	2.30
0.61	0.47	2.30
0.65	0.49	3.30
0.90	0.80	1.61
0.88	0.72	2.77
0.72	0.54	2.71
0.64	0.48	3.26
0.83	0.64	2.48
0.87	0.75	2.71
0.48	0.33	2.48
0.79	0.52	1.95
0.83	0.67	2.48
0.80	0.61	3.04
0.71	0.55	3.04
0.84	0.68	2.77
0.46	0.33	2.94
0.65	0.51	3.00
0.72	0.57	3.33
-0.40	-0.33	1.39
0.69	0.52	2.71
0.83	0.64	2.40
0.06	0.12	2.48
0.49	0.33	3.00
0.51	0.39	2.89
0.78	0.58	2.48
0.76	0.59	3.26
0.65	0.46	3.30
0.66	0.44	2.83
0.22	0.15	2.48
0.66	0.48	2.48
0.62	0.41	2.83
0.72	0.56	3.14
0.68	0.52	3.04
0.52	0.33	2.56
0.54	0.38	2.56
0.78	0.63	2.94
0.58	0.49	2.56
0.69	0.53	3.14
0.70	0.52	3.91
0.64	0.46	3.47
0.69	0.50	3.30
0.42	0.28	2.83
0.68	0.52	2.71
0.91	0.78	2.40
0.61	0.43	2.94
0.52	0.35	3.26
0.81	0.64	3.00
0.68	0.48	2.77
0.66	0.56	2.30
0.77	0.61	2.94
0.68	0.56	2.94
0.77	0.60	1.79
0.61	0.44	3.37
0.81	0.61	3.53
0.55	0.41	3.04
0.65	0.47	3.56
0.57	0.40	3.04
0.57	0.36	2.64
0.85	0.65	2.64
0.58	0.44	3.18
0.60	0.44	3.47
0.78	0.61	3.50
0.87	0.69	2.83
0.79	0.60	3.53
0.49	0.33	2.94
0.60	0.51	2.30
0.77	0.62	2.77
0.65	0.50	3.64
0.84	0.67	3.26
