Spearman	Kendall	MutualInformation
0.32	0.23	3.00
0.48	0.33	2.30
0.49	0.35	2.40
0.78	0.56	2.64
0.59	0.47	2.30
0.49	0.35	2.89
0.20	0.18	2.48
0.30	0.18	2.71
0.61	0.49	2.71
0.43	0.32	3.18
0.55	0.39	2.89
0.72	0.58	2.94
0.52	0.39	2.48
0.59	0.44	3.00
0.40	0.28	2.20
0.77	0.55	2.48
0.50	0.36	2.56
0.44	0.27	2.94
0.32	0.21	2.56
0.63	0.42	2.48
0.35	0.16	2.30
0.42	0.33	2.30
0.44	0.33	3.30
0.90	0.80	1.61
0.73	0.57	2.77
0.65	0.50	2.71
0.60	0.44	3.26
0.68	0.48	2.48
0.55	0.39	2.71
0.46	0.33	2.48
0.54	0.43	1.95
0.76	0.58	2.48
0.68	0.50	3.04
0.50	0.29	3.04
0.55	0.40	2.77
0.57	0.40	2.94
0.54	0.43	3.00
0.54	0.34	3.33
-1.00	-1.00	1.39
0.56	0.39	2.71
0.75	0.60	2.40
0.22	0.21	2.48
0.34	0.22	3.00
0.50	0.36	2.89
0.33	0.18	2.48
0.71	0.51	3.26
0.59	0.41	3.30
0.80	0.65	2.83
0.08	0.09	2.48
0.75	0.61	2.48
0.16	0.07	2.83
0.61	0.44	3.14
0.54	0.39	3.04
0.74	0.54	2.56
0.63	0.46	2.56
0.68	0.53	2.94
0.49	0.38	2.56
0.53	0.34	3.14
0.41	0.28	3.91
0.63	0.45	3.47
0.59	0.42	3.30
0.48	0.32	2.83
0.44	0.31	2.71
0.47	0.35	2.40
0.42	0.30	2.94
0.50	0.32	3.26
0.51	0.37	3.00
0.61	0.47	2.77
0.31	0.20	2.30
0.59	0.45	2.94
0.45	0.32	2.94
0.54	0.47	1.79
0.42	0.30	3.37
0.62	0.44	3.53
0.36	0.24	3.04
0.53	0.38	3.56
0.47	0.34	3.04
0.73	0.54	2.64
0.64	0.47	2.64
0.28	0.19	3.18
0.55	0.40	3.47
0.63	0.45	3.50
0.61	0.46	2.83
0.66	0.48	3.53
0.24	0.11	2.94
0.55	0.42	2.30
0.76	0.58	2.77
0.17	0.08	3.64
0.68	0.51	3.26
