Spearman	Kendall	MutualInformation
0.80	0.62	3.00
0.68	0.51	2.30
0.85	0.71	2.40
0.78	0.58	2.64
0.93	0.82	2.30
0.74	0.56	2.89
0.69	0.52	2.48
0.75	0.62	2.71
0.86	0.73	2.71
0.83	0.65	3.18
0.87	0.69	2.89
0.72	0.53	2.94
0.81	0.67	2.48
0.79	0.60	3.00
0.90	0.78	2.20
0.81	0.64	2.48
0.88	0.74	2.56
0.81	0.61	2.94
0.83	0.67	2.56
0.73	0.58	2.48
0.72	0.56	2.30
0.78	0.56	2.30
0.81	0.63	3.30
0.90	0.80	1.61
0.92	0.77	2.77
0.64	0.50	2.71
0.81	0.66	3.26
0.81	0.64	2.48
0.95	0.83	2.71
0.88	0.73	2.48
0.93	0.81	1.95
0.98	0.91	2.48
0.76	0.53	3.04
0.90	0.77	3.04
0.72	0.55	2.77
0.62	0.45	2.94
0.77	0.60	3.00
0.83	0.64	3.33
0.60	0.33	1.39
0.79	0.60	2.71
0.58	0.42	2.40
0.52	0.39	2.48
0.79	0.62	3.00
0.87	0.71	2.89
0.80	0.58	2.48
0.90	0.74	3.26
0.83	0.62	3.30
0.85	0.69	2.83
0.62	0.48	2.48
0.84	0.64	2.48
0.83	0.63	2.83
0.86	0.66	3.14
0.90	0.73	3.04
0.83	0.69	2.56
0.83	0.67	2.56
0.90	0.75	2.94
0.80	0.62	2.56
0.71	0.53	3.14
0.68	0.49	3.91
0.81	0.63	3.47
0.83	0.67	3.30
0.72	0.56	2.83
0.61	0.37	2.71
0.72	0.56	2.40
0.76	0.57	2.94
0.78	0.56	3.26
0.88	0.74	3.00
0.83	0.72	2.77
0.88	0.73	2.30
0.78	0.59	2.94
0.88	0.73	2.94
0.94	0.87	1.79
0.76	0.57	3.37
0.88	0.69	3.53
0.64	0.49	3.04
0.63	0.47	3.56
0.88	0.68	3.04
0.83	0.65	2.64
0.85	0.67	2.64
0.76	0.57	3.18
0.68	0.50	3.47
0.82	0.64	3.50
0.79	0.62	2.83
0.87	0.66	3.53
0.76	0.60	2.94
0.81	0.64	2.30
0.88	0.73	2.77
0.81	0.62	3.64
0.89	0.74	3.26
